drug pairs 
http://bio2rdf.org/drugbank:DB00519-http://bio2rdf.org/drugbank:DB00814    object:Trandolapril precipitant: Meloxicam 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00635-http://bio2rdf.org/drugbank:DB06228    object:Rivaroxaban precipitant: Prednisone 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00519-http://bio2rdf.org/drugbank:DB00788    object:Trandolapril precipitant: Naproxen 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00489-http://bio2rdf.org/drugbank:DB00814    object:Meloxicam precipitant: Sotalol 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00519-http://bio2rdf.org/drugbank:DB00554    object:Trandolapril precipitant: Piroxicam 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00489-http://bio2rdf.org/drugbank:DB00580    object:Valdecoxib precipitant: Sotalol 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00749-http://bio2rdf.org/drugbank:DB00519    object:Trandolapril precipitant: Etodolac 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00881-http://bio2rdf.org/drugbank:DB01067    object:Glipizide precipitant: Quinapril 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00177-http://bio2rdf.org/drugbank:DB00881    object:Quinapril precipitant: Valsartan 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01029-http://bio2rdf.org/drugbank:DB00542    object:Benazepril precipitant: Irbesartan 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00966-http://bio2rdf.org/drugbank:DB01197    object:Captopril precipitant: Telmisartan 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00814-http://bio2rdf.org/drugbank:DB00492    object:Fosinopril precipitant: Meloxicam 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00519-http://bio2rdf.org/drugbank:DB00222    object:Glimepiride precipitant: Trandolapril 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00482-http://bio2rdf.org/drugbank:DB01197    object:Captopril precipitant: Celecoxib 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00519-http://bio2rdf.org/drugbank:DB00966    object:Trandolapril precipitant: Telmisartan 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00999-http://bio2rdf.org/drugbank:DB00586    object:Hydrochlorothiazide precipitant: Diclofenac 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00612-http://bio2rdf.org/drugbank:DB00712    object:Flurbiprofen precipitant: Bisoprolol 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00482-http://bio2rdf.org/drugbank:DB00492    object:Fosinopril precipitant: Celecoxib 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00999-http://bio2rdf.org/drugbank:DB00580    object:Hydrochlorothiazide precipitant: Valdecoxib 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00945-http://bio2rdf.org/drugbank:DB00178    object:Ramipril precipitant: Acetylsalicylic acid 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00492-http://bio2rdf.org/drugbank:DB01120    object:Gliclazide precipitant: Fosinopril 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00945-http://bio2rdf.org/drugbank:DB01197    object:Captopril precipitant: Acetylsalicylic acid 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00722-http://bio2rdf.org/drugbank:DB01124    object:Tolbutamide precipitant: Lisinopril 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00519-http://bio2rdf.org/drugbank:DB01029    object:Trandolapril precipitant: Irbesartan 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB06695-http://bio2rdf.org/drugbank:DB00635    object:Dabigatran etexilate precipitant: Prednisone 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00489-http://bio2rdf.org/drugbank:DB01115    object:Sotalol precipitant: Nifedipine 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00945-http://bio2rdf.org/drugbank:DB00584    object:Enalapril precipitant: Acetylsalicylic acid 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01067-http://bio2rdf.org/drugbank:DB00722    object:Glipizide precipitant: Lisinopril 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01016-http://bio2rdf.org/drugbank:DB00584    object:Glyburide precipitant: Enalapril 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00373-http://bio2rdf.org/drugbank:DB00749    object:Etodolac precipitant: Timolol 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01234-http://bio2rdf.org/drugbank:DB06695    object:Dabigatran etexilate precipitant: Dexamethasone 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00178-http://bio2rdf.org/drugbank:DB00999    object:Hydrochlorothiazide precipitant: Ramipril 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB01197-http://bio2rdf.org/drugbank:DB01016    object:Glyburide precipitant: Captopril 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00784-http://bio2rdf.org/drugbank:DB00881    object:Quinapril precipitant: Mefenamic acid 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00580-http://bio2rdf.org/drugbank:DB00373    object:Valdecoxib precipitant: Timolol 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
http://bio2rdf.org/drugbank:DB00612-http://bio2rdf.org/drugbank:DB00784    object:Mefenamic acid precipitant: Bisoprolol 	ONC-NonInteruptive Evidence: None 	World-Vista Evidence: None 
