Drug_Interaction_ID	Drug_1_Name	Drug_1_RxCUI	Drug_2_Name	Drug_2_RxCUI	Description	Severity	Comment
1447	OLANZAPINE 	61381	ESTAZOLAM	4077	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	PALIPERIDONE	679314	ESTAZOLAM	4077	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	QUETIAPINE 	51272	ESTAZOLAM	4077	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	RISPERIDONE 	35636	ESTAZOLAM	4077	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	TRIMIPRAMINE	10834	ESTAZOLAM	4077	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	ZOLPIDEM	39993	ESTAZOLAM	4077	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1640	CHLORPROMAZINE 	2403	ESCITALOPRAM	321988	Increased risk of ventricular arrhythmias, especially of torsades de pointes	Contraindication	-with citalopram, domperidone, escitalopram, hydroxyzine and piperaquine
1640	FLUPHENAZINE	4496	ESCITALOPRAM	321988	Increased risk of ventricular arrhythmias, especially of torsades de pointes	Contraindication	-with citalopram, domperidone, escitalopram, hydroxyzine and piperaquine
1640	HALOPERIDOL	5093	ESCITALOPRAM	321988	Increased risk of ventricular arrhythmias, especially of torsades de pointes	Contraindication	-with citalopram, domperidone, escitalopram, hydroxyzine and piperaquine
2212	CHLORPROMAZINE 	2403	ESCITALOPRAM	321988	Increased risk of ventricular arrhythmias, especially of torsades de pointes	Contraindication	--For dolasetron, erythromycin, spiramycin and vicamine, only the forms administerd by IV route are concerned by this interaction
2212	CITALOPRAM	2556	ESCITALOPRAM	321988	Increased risk of ventricular arrhythmias, especially of torsades de pointes	Contraindication	--For dolasetron, erythromycin, spiramycin and vicamine, only the forms administerd by IV route are concerned by this interaction
2212	FLUPHENAZINE	4496	ESCITALOPRAM	321988	Increased risk of ventricular arrhythmias, especially of torsades de pointes	Contraindication	--For dolasetron, erythromycin, spiramycin and vicamine, only the forms administerd by IV route are concerned by this interaction
2212	HALOPERIDOL	5093	ESCITALOPRAM	321988	Increased risk of ventricular arrhythmias, especially of torsades de pointes	Contraindication	--For dolasetron, erythromycin, spiramycin and vicamine, only the forms administerd by IV route are concerned by this interaction
2417	APIXABAN	1364430	ESCITALOPRAM	321988	Increase of the risk of hemorrhage	Precaution for use	Clinical monitoring and, if the situation requires, more frequent testing of the INR. Possible adjustment of the dosage of the oral anticoagulant during the administration with the SSRI and after it is stopped.
2417	RIVAROXABAN	1114195	ESCITALOPRAM	321988	Increase of the risk of hemorrhage	Precaution for use	Clinical monitoring and, if the situation requires, more frequent testing of the INR. Possible adjustment of the dosage of the oral anticoagulant during the administration with the SSRI and after it is stopped.
2417	WARFARIN	11289	ESCITALOPRAM	321988	Increase of the risk of hemorrhage	Precaution for use	Clinical monitoring and, if the situation requires, more frequent testing of the INR. Possible adjustment of the dosage of the oral anticoagulant during the administration with the SSRI and after it is stopped.
2419	APIXABAN	1364430	DULOXETINE	72625	Increase of the risk of hermorrhage.	Precaution for use	Clinical monitoring and, if the situation requires, more frequent testing of the INR. Possible adjustment of the dosage of the oral anticoagulant during the administration of these medications together and after they are stopped.
2419	RIVAROXABAN	1114195	DULOXETINE	72625	Increase of the risk of hermorrhage.	Precaution for use	Clinical monitoring and, if the situation requires, more frequent testing of the INR. Possible adjustment of the dosage of the oral anticoagulant during the administration of these medications together and after they are stopped.
2419	WARFARIN	11289	DULOXETINE	72625	Increase of the risk of hermorrhage.	Precaution for use	Clinical monitoring and, if the situation requires, more frequent testing of the INR. Possible adjustment of the dosage of the oral anticoagulant during the administration of these medications together and after they are stopped.
2441	CITALOPRAM	2556	ESCITALOPRAM	321988	Increased risk of ventricular arrhythmias, especially of torsades de pointes	Contraindication	--for dolasetron, erythromycin, spiramycin, and vincamine, only the forms administered by IV route are affected by this interaction.
2676	AMITRIPTYLINE	704	ESCITALOPRAM	321988	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
2676	AMOXAPINE	722	ESCITALOPRAM	321988	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
2676	CLOMIPRAMINE	2597	ESCITALOPRAM	321988	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
2676	DOXEPIN	3638	ESCITALOPRAM	321988	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
2676	IMIPRAMINE	5691	ESCITALOPRAM	321988	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
2676	MAPROTILINE	6646	ESCITALOPRAM	321988	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
2676	TRIMIPRAMINE	10834	ESCITALOPRAM	321988	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
880	CITALOPRAM	2556	FLUOXETINE	4493	Increase of the risk of hyponatremia	Take into account	
880	ESCITALOPRAM	321988	FLUOXETINE	4493	Increase of the risk of hyponatremia	Take into account	
880	FLUVOXAMINE	42355	FLUOXETINE	4493	Increase of the risk of hyponatremia	Take into account	
880	PAROXETINE	32937	FLUOXETINE	4493	Increase of the risk of hyponatremia	Take into account	
880	SERTRALINE	36437	FLUOXETINE	4493	Increase of the risk of hyponatremia	Take into account	
880	CITALOPRAM	2556	FLUVOXAMINE	42355	Increase of the risk of hyponatremia	Take into account	
880	ESCITALOPRAM	321988	FLUVOXAMINE	42355	Increase of the risk of hyponatremia	Take into account	
880	FLUOXETINE	4493	FLUVOXAMINE	42355	Increase of the risk of hyponatremia	Take into account	
880	PAROXETINE	32937	FLUVOXAMINE	42355	Increase of the risk of hyponatremia	Take into account	
880	SERTRALINE	36437	FLUVOXAMINE	42355	Increase of the risk of hyponatremia	Take into account	
1435	AMITRIPTYLINE	704	FLUOXETINE	4493	Accrued risk of convulsions	Take into account	
1435	AMOXAPINE	722	FLUOXETINE	4493	Accrued risk of convulsions	Take into account	
1435	CHLORPROMAZINE 	2403	FLUOXETINE	4493	Accrued risk of convulsions	Take into account	
1435	CITALOPRAM	2556	FLUOXETINE	4493	Accrued risk of convulsions	Take into account	
1435	CLOMIPRAMINE	2597	FLUOXETINE	4493	Accrued risk of convulsions	Take into account	
1435	DOXEPIN	3638	FLUOXETINE	4493	Accrued risk of convulsions	Take into account	
1435	ESCITALOPRAM	321988	FLUOXETINE	4493	Accrued risk of convulsions	Take into account	
1435	FLUPHENAZINE	4496	FLUOXETINE	4493	Accrued risk of convulsions	Take into account	
1435	FLUVOXAMINE	42355	FLUOXETINE	4493	Accrued risk of convulsions	Take into account	
1435	HALOPERIDOL 	5093	FLUOXETINE	4493	Accrued risk of convulsions	Take into account	
1435	IMIPRAMINE	5691	FLUOXETINE	4493	Accrued risk of convulsions	Take into account	
1435	MAPROTILINE	6646	FLUOXETINE	4493	Accrued risk of convulsions	Take into account	
1435	PAROXETINE	32937	FLUOXETINE	4493	Accrued risk of convulsions	Take into account	
1435	SERTRALINE	36437	FLUOXETINE	4493	Accrued risk of convulsions	Take into account	
1435	TRIMIPRAMINE	10834	FLUOXETINE	4493	Accrued risk of convulsions	Take into account	
1435	AMITRIPTYLINE	704	FLUPHENAZINE	4496	Accrued risk of convulsions	Take into account	
1435	AMOXAPINE	722	FLUPHENAZINE	4496	Accrued risk of convulsions	Take into account	
1435	CHLORPROMAZINE 	2403	FLUPHENAZINE	4496	Accrued risk of convulsions	Take into account	
1435	CITALOPRAM	2556	FLUPHENAZINE	4496	Accrued risk of convulsions	Take into account	
1435	CLOMIPRAMINE	2597	FLUPHENAZINE	4496	Accrued risk of convulsions	Take into account	
1435	DOXEPIN	3638	FLUPHENAZINE	4496	Accrued risk of convulsions	Take into account	
1435	ESCITALOPRAM	321988	FLUPHENAZINE	4496	Accrued risk of convulsions	Take into account	
1435	FLUOXETINE	4493	FLUPHENAZINE	4496	Accrued risk of convulsions	Take into account	
1435	FLUVOXAMINE	42355	FLUPHENAZINE	4496	Accrued risk of convulsions	Take into account	
1435	HALOPERIDOL 	5093	FLUPHENAZINE	4496	Accrued risk of convulsions	Take into account	
1435	IMIPRAMINE	5691	FLUPHENAZINE	4496	Accrued risk of convulsions	Take into account	
1435	MAPROTILINE	6646	FLUPHENAZINE	4496	Accrued risk of convulsions	Take into account	
1435	PAROXETINE	32937	FLUPHENAZINE	4496	Accrued risk of convulsions	Take into account	
1435	SERTRALINE	36437	FLUPHENAZINE	4496	Accrued risk of convulsions	Take into account	
1435	TRIMIPRAMINE	10834	FLUPHENAZINE	4496	Accrued risk of convulsions	Take into account	
1435	AMITRIPTYLINE	704	FLUVOXAMINE	42355	Accrued risk of convulsions	Take into account	
1435	AMOXAPINE	722	FLUVOXAMINE	42355	Accrued risk of convulsions	Take into account	
1435	CHLORPROMAZINE 	2403	FLUVOXAMINE	42355	Accrued risk of convulsions	Take into account	
1435	CITALOPRAM	2556	FLUVOXAMINE	42355	Accrued risk of convulsions	Take into account	
1435	CLOMIPRAMINE	2597	FLUVOXAMINE	42355	Accrued risk of convulsions	Take into account	
1435	DOXEPIN	3638	FLUVOXAMINE	42355	Accrued risk of convulsions	Take into account	
1435	ESCITALOPRAM	321988	FLUVOXAMINE	42355	Accrued risk of convulsions	Take into account	
1435	FLUOXETINE	4493	FLUVOXAMINE	42355	Accrued risk of convulsions	Take into account	
1435	FLUPHENAZINE	4496	FLUVOXAMINE	42355	Accrued risk of convulsions	Take into account	
1435	HALOPERIDOL 	5093	FLUVOXAMINE	42355	Accrued risk of convulsions	Take into account	
1435	IMIPRAMINE	5691	FLUVOXAMINE	42355	Accrued risk of convulsions	Take into account	
1435	MAPROTILINE	6646	FLUVOXAMINE	42355	Accrued risk of convulsions	Take into account	
1435	PAROXETINE	32937	FLUVOXAMINE	42355	Accrued risk of convulsions	Take into account	
1435	SERTRALINE	36437	FLUVOXAMINE	42355	Accrued risk of convulsions	Take into account	
1435	TRIMIPRAMINE	10834	FLUVOXAMINE	42355	Accrued risk of convulsions	Take into account	
1436	AMITRIPTYLINE	704	FLUPHENAZINE	4496	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	AMOXAPINE	722	FLUPHENAZINE	4496	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	CHLORPROMAZINE 	2403	FLUPHENAZINE	4496	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	CLOMIPRAMINE	2597	FLUPHENAZINE	4496	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	CLOZAPINE 	2626	FLUPHENAZINE	4496	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	DOXEPIN	3638	FLUPHENAZINE	4496	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	IMIPRAMINE	5691	FLUPHENAZINE	4496	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	LOXAPINE	6475	FLUPHENAZINE	4496	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	MAPROTILINE	6646	FLUPHENAZINE	4496	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	QUETIAPINE	51272	FLUPHENAZINE	4496	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1436	TRIMIPRAMINE	10834	FLUPHENAZINE	4496	Addition of the undesirable atropinic effects such as urinary retention, constipation, dry mouth	Take into account	
1447	AMITRIPTYLINE	704	FLUPHENAZINE	4496	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	ARIPIPRAZOLE	89013	FLUPHENAZINE	4496	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	CHLORPROMAZINE 	2403	FLUPHENAZINE	4496	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	CLOZAPINE 	2626	FLUPHENAZINE	4496	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	DOXEPIN	3638	FLUPHENAZINE	4496	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	ESTAZOLAM	4077	FLUPHENAZINE	4496	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	FLURAZEPAM	4501	FLUPHENAZINE	4496	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	HALOPERIDOL	5093	FLUPHENAZINE	4496	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	LOXAPINE	6475	FLUPHENAZINE	4496	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	MAPROTILINE	6646	FLUPHENAZINE	4496	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	MIRTAZAPINE	15996	FLUPHENAZINE	4496	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	OLANZAPINE 	61381	FLUPHENAZINE	4496	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	PALIPERIDONE	679314	FLUPHENAZINE	4496	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	QUETIAPINE 	51272	FLUPHENAZINE	4496	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	RISPERIDONE 	35636	FLUPHENAZINE	4496	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	TRIMIPRAMINE	10834	FLUPHENAZINE	4496	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	ZOLPIDEM	39993	FLUPHENAZINE	4496	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	AMITRIPTYLINE	704	FLURAZEPAM	4501	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	ARIPIPRAZOLE	89013	FLURAZEPAM	4501	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	CHLORPROMAZINE 	2403	FLURAZEPAM	4501	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	CLOZAPINE 	2626	FLURAZEPAM	4501	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	DOXEPIN	3638	FLURAZEPAM	4501	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	ESTAZOLAM	4077	FLURAZEPAM	4501	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	FLUPHENAZINE	4496	FLURAZEPAM	4501	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	HALOPERIDOL	5093	FLURAZEPAM	4501	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	LOXAPINE	6475	FLURAZEPAM	4501	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	MAPROTILINE	6646	FLURAZEPAM	4501	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	MIRTAZAPINE	15996	FLURAZEPAM	4501	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	OLANZAPINE 	61381	FLURAZEPAM	4501	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	PALIPERIDONE	679314	FLURAZEPAM	4501	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	QUETIAPINE 	51272	FLURAZEPAM	4501	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	RISPERIDONE 	35636	FLURAZEPAM	4501	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	TRIMIPRAMINE	10834	FLURAZEPAM	4501	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1447	ZOLPIDEM	39993	FLURAZEPAM	4501	Increase of central nervous center depression. The alteration of alertness can make driving vehicles or using machines dangerous	Not recommended	--with sodium oxybate
1640	CHLORPROMAZINE 	2403	FLUPHENAZINE	4496	Increased risk of ventricular arrhythmias, especially of torsades de pointes	Contraindication	-with citalopram, domperidone, escitalopram, hydroxyzine and piperaquine
1640	HALOPERIDOL	5093	FLUPHENAZINE	4496	Increased risk of ventricular arrhythmias, especially of torsades de pointes	Contraindication	-with citalopram, domperidone, escitalopram, hydroxyzine and piperaquine
2208	CHLORPROMAZINE 	2403	FLUPHENAZINE	4496	Increased risk of ventricular arrhythmias, especially of torsades de pointes	Contraindication	--with citalopram, dromperidone, escitalopram, hydroxyzine, piperaquine
2208	CITALOPRAM	2556	FLUPHENAZINE	4496	Increased risk of ventricular arrhythmias, especially of torsades de pointes	Contraindication	--with citalopram, dromperidone, escitalopram, hydroxyzine, piperaquine
2208	ESCITALOPRAM	321988	FLUPHENAZINE	4496	Increased risk of ventricular arrhythmias, especially of torsades de pointes	Contraindication	--with citalopram, dromperidone, escitalopram, hydroxyzine, piperaquine
2208	HALOPERIDOL	5093	FLUPHENAZINE	4496	Increased risk of ventricular arrhythmias, especially of torsades de pointes	Contraindication	--with citalopram, dromperidone, escitalopram, hydroxyzine, piperaquine
2417	APIXABAN	1364430	FLUOXETINE	4493	Increase of the risk of hemorrhage	Precaution for use	Clinical monitoring and, if the situation requires, more frequent testing of the INR. Possible adjustment of the dosage of the oral anticoagulant during the administration with the SSRI and after it is stopped.
2417	RIVAROXABAN	1114195	FLUOXETINE	4493	Increase of the risk of hemorrhage	Precaution for use	Clinical monitoring and, if the situation requires, more frequent testing of the INR. Possible adjustment of the dosage of the oral anticoagulant during the administration with the SSRI and after it is stopped.
2417	WARFARIN	11289	FLUOXETINE	4493	Increase of the risk of hemorrhage	Precaution for use	Clinical monitoring and, if the situation requires, more frequent testing of the INR. Possible adjustment of the dosage of the oral anticoagulant during the administration with the SSRI and after it is stopped.
2417	APIXABAN	1364430	FLUVOXAMINE	42355	Increase of the risk of hemorrhage	Precaution for use	Clinical monitoring and, if the situation requires, more frequent testing of the INR. Possible adjustment of the dosage of the oral anticoagulant during the administration with the SSRI and after it is stopped.
2417	RIVAROXABAN	1114195	FLUVOXAMINE	42355	Increase of the risk of hemorrhage	Precaution for use	Clinical monitoring and, if the situation requires, more frequent testing of the INR. Possible adjustment of the dosage of the oral anticoagulant during the administration with the SSRI and after it is stopped.
2417	WARFARIN	11289	FLUVOXAMINE	42355	Increase of the risk of hemorrhage	Precaution for use	Clinical monitoring and, if the situation requires, more frequent testing of the INR. Possible adjustment of the dosage of the oral anticoagulant during the administration with the SSRI and after it is stopped.
2441	CITALOPRAM	2556	FLUPHENAZINE	4496	Increased risk of ventricular arrhythmias, especially of torsades de pointes	Contraindication	--for dolasetron, erythromycin, spiramycin, and vincamine, only the forms administered by IV route are affected by this interaction.
2441	ESCITALOPRAM	321988	FLUPHENAZINE	4496	Increased risk of ventricular arrhythmias, especially of torsades de pointes	Contraindication	--for dolasetron, erythromycin, spiramycin, and vincamine, only the forms administered by IV route are affected by this interaction.
2676	AMITRIPTYLINE	704	FLUOXETINE	4493	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
2676	AMOXAPINE	722	FLUOXETINE	4493	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
2676	CLOMIPRAMINE	2597	FLUOXETINE	4493	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
2676	DOXEPIN	3638	FLUOXETINE	4493	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
2676	IMIPRAMINE	5691	FLUOXETINE	4493	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
2676	MAPROTILINE	6646	FLUOXETINE	4493	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
2676	TRIMIPRAMINE	10834	FLUOXETINE	4493	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
2676	AMITRIPTYLINE	704	FLUVOXAMINE	42355	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
2676	AMOXAPINE	722	FLUVOXAMINE	42355	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
2676	CLOMIPRAMINE	2597	FLUVOXAMINE	42355	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
2676	DOXEPIN	3638	FLUVOXAMINE	42355	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
2676	IMIPRAMINE	5691	FLUVOXAMINE	42355	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
2676	MAPROTILINE	6646	FLUVOXAMINE	42355	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
2676	TRIMIPRAMINE	10834	FLUVOXAMINE	42355	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
2783	WARFARIN	11289	FLUVASTATIN	41127	Increase of the effect of the Vitamin K antagonist and of the risk of hemorrhage	Precaution for use	More frequent testing of the INR. Possible adjustment of the dosage of the Vitamin K antagonist.
1184	CITALOPRAM	2556	IMIPRAMINE	5691	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
1184	ESCITALOPRAM	321988	IMIPRAMINE	5691	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
1184	FLUOXETINE	4493	IMIPRAMINE	5691	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
1184	FLUVOXAMINE	42355	IMIPRAMINE	5691	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
1184	PAROXETINE	32937	IMIPRAMINE	5691	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
1184	SERTRALINE	36437	IMIPRAMINE	5691	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
1184	VORTIOXETINE	1455099	IMIPRAMINE	5691	Increase of the plasma concentrations of the tricyclic antidepressant with risk of convulsions and increase of the undesirable effects	Precaution for use	Increased clinical monitoring and, if necessary, adjustment of the dosage
1435	AMITRIPTYLINE	704	HALOPERIDOL 	5093	Accrued risk of convulsions	Take into account	
1435	AMOXAPINE	722	HALOPERIDOL 	5093	Accrued risk of convulsions	Take into account	
1435	CHLORPROMAZINE 	2403	HALOPERIDOL 	5093	Accrued risk of convulsions	Take into account	
1435	CITALOPRAM	2556	HALOPERIDOL 	5093	Accrued risk of convulsions	Take into account	
1435	CLOMIPRAMINE	2597	HALOPERIDOL 	5093	Accrued risk of convulsions	Take into account	
1435	DOXEPIN	3638	HALOPERIDOL 	5093	Accrued risk of convulsions	Take into account	
1435	ESCITALOPRAM	321988	HALOPERIDOL 	5093	Accrued risk of convulsions	Take into account	
1435	FLUOXETINE	4493	HALOPERIDOL 	5093	Accrued risk of convulsions	Take into account	
1435	FLUPHENAZINE	4496	HALOPERIDOL 	5093	Accrued risk of convulsions	Take into account	
1435	FLUVOXAMINE	42355	HALOPERIDOL 	5093	Accrued risk of convulsions	Take into account	
1435	IMIPRAMINE	5691	HALOPERIDOL 	5093	Accrued risk of convulsions	Take into account	
1435	MAPROTILINE	6646	HALOPERIDOL 	5093	Accrued risk of convulsions	Take into account	
1435	PAROXETINE	32937	HALOPERIDOL 	5093	Accrued risk of convulsions	Take into account	
1435	SERTRALINE	36437	HALOPERIDOL 	5093	Accrued risk of convulsions	Take into account	
1435	TRIMIPRAMINE	10834	HALOPERIDOL 	5093	Accrued risk of convulsions	Take into account	
1435	AMITRIPTYLINE	704	IMIPRAMINE	5691	Accrued risk of convulsions	Take into account	
1435	AMOXAPINE	722	IMIPRAMINE	5691	Accrued risk of convulsions	Take into account	
1435	CHLORPROMAZINE 	2403	IMIPRAMINE	5691	Accrued risk of convulsions	Take into account	
1435	CITALOPRAM	2556	IMIPRAMINE	5691	Accrued risk of convulsions	Take into account	
1435	CLOMIPRAMINE	2597	IMIPRAMINE	5691	Accrued risk of convulsions	Take into account	
1435	DOXEPIN	3638	IMIPRAMINE	5691	Accrued risk of convulsions	Take into account	
1435	ESCITALOPRAM	321988	IMIPRAMINE	5691	Accrued risk of convulsions	Take into account	
